,address,count,위도,경도
0,서울특별시 영등포구 여의도동 4-4,117,37.5267088,126.9238
1,서울특별시 영등포구 여의도동 3,115,37.5226942,126.9238114
2,서울특별시 영등포구 여의도동 2-11,105,37.5267088,126.9238
3,서울특별시 영등포구 문래동3가 68-1,74,37.51702,126.89591
4,서울특별시 영등포구 여의도동 4-5,60,37.5267088,126.9238
5,서울특별시 영등포구 여의도동 8,59,37.5267088,126.9238
6,서울특별시 영등포구 여의도동 4,57,37.52205,126.9245415
7,서울특별시 영등포구 여의도동 1-2,56,37.5267088,126.9238
8,서울특별시 영등포구 여의도동 2-8,49,37.5267088,126.9238
9,서울특별시 영등포구 여의도동 1-6,47,37.5267088,126.9238
10,서울특별시 영등포구 여의도동 4-3,42,37.5267088,126.9238
11,서울특별시 영등포구 여의도동 1-4,42,37.5267088,126.9238
12,서울특별시 영등포구 여의도동 2-2,40,37.5267088,126.9238
13,서울특별시 영등포구 여의도동 43-4,40,37.5267088,126.9238
14,서울특별시 영등포구 여의도동 5,39,37.5218241,126.9247465
15,서울특별시 영등포구 여의도동 2-6,39,37.5267088,126.9238
16,서울특별시 영등포구 여의도동 22,39,37.5267088,126.9238
17,서울특별시 영등포구 여의도동 1-3,36,37.5267088,126.9238
18,서울특별시 영등포구 여의도동 2-1,34,37.5267088,126.9238
19,서울특별시 영등포구 양평동4가 93-1,33,37.53689,126.89638
20,서울특별시 영등포구 여의도동 8-13,32,37.5267088,126.9238
21,서울특별시 영등포구 여의도동 6,29,37.5212371,126.9243216
22,서울특별시 영등포구 여의도동 1-5,26,37.5267088,126.9238
23,서울특별시 영등포구 여의도동 2,26,37.5219647,126.9234638
24,서울특별시 영등포구 문래동3가 55-20,26,37.51702,126.89591
25,서울특별시 영등포구 여의도동 8-1,23,37.5267088,126.9238
26,서울특별시 영등포구 대림동 774-2,23,37.4957573,126.899936
27,서울특별시 영등포구 여의도동 61-5,22,37.5267088,126.9238
28,서울특별시 영등포구 문래동6가 16-1,22,37.51938,126.88467
29,서울특별시 영등포구 양평동5가 66-1,22,37.53906,126.8928
30,서울특별시 영등포구 양평동4가 11-1,21,37.53689,126.89638
31,서울특별시 영등포구 여의도동 2-7,20,37.5267088,126.9238
32,서울특별시 영등포구 영등포동4가 123-1,20,37.51777,126.90368
33,서울특별시 영등포구 여의도동 3-5,20,37.5267088,126.9238
34,서울특별시 영등포구 문래동3가 55-13,19,37.51702,126.89591
